Tenant,Branch,Content Group Category,Content Group,Translation Provider Name,Translation Provider Type,Culture Group,Cultures,QE/AIPE Enabled,HPE Enabled,Vendor,TranslationFlavor
Default_Azure_1,databricks-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_1_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,LIOX,
Default_Azure_1,databricks-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_1_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
Default_Azure_1,dataexplorer-docs-pr.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,zh-CN,sv-SE,hu-HU,es-ES,pt-BR,ja-JP,tr-TR,fr-FR,it-IT,pt-PT,ru-RU,nl-NL,pl-PL,de-DE,id-ID,zh-TW,ko-KR",FALSE,,,
Default_Azure_1,dataexplorer-docs-pr.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,zh-CN,sv-SE,hu-HU,es-ES,pt-BR,ja-JP,tr-TR,fr-FR,it-IT,pt-PT,ru-RU,nl-NL,pl-PL,de-DE,id-ID,zh-TW,ko-KR",FALSE,,,
Default_Azure_1,dataexplorer-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_1_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,LIOX,
Default_Azure_1,dataexplorer-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_1_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
Default_PowerBI_1,data-integration-pr.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_PowerBI_CTS,CtsDownstreamConnectorSagaTemplate,Default_PowerBI_MT_24,"ru-RU,th-TH,pt-PT,nb-NO,fr-FR,it-IT,tr-TR,zh-TW,ko-KR,id-ID,de-DE,da-DK,pl-PL,nl-NL,ja-JP,pt-BR,es-ES,hu-HU,sv-SE,el-GR,zh-CN,cs-CZ,sk-SK,fi-FI",FALSE,,,
Default_PowerBI_1,data-integration-pr.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_PowerBI_CTS,CtsDownstreamConnectorSagaTemplate,Default_PowerBI_MT_24,"ru-RU,th-TH,pt-PT,nb-NO,fr-FR,it-IT,tr-TR,zh-TW,ko-KR,id-ID,de-DE,da-DK,pl-PL,nl-NL,ja-JP,pt-BR,es-ES,hu-HU,sv-SE,el-GR,zh-CN,cs-CZ,sk-SK,fi-FI",FALSE,,,
Default_PowerBI_1,data-integration-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_PowerBI_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
Default_PowerBI_1,data-integration-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_PowerBI_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,RWS,
Default_PowerBI_1,data-integration-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_PowerBI_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_MT_6,"nb-NO,th-TH,da-DK,fi-FI,sk-SK,el-GR",FALSE,FALSE,TransPerfect,
Default_Azure_1,data-tools-pr.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,zh-CN,sv-SE,hu-HU,es-ES,pt-BR,ja-JP,tr-TR,fr-FR,it-IT,pt-PT,ru-RU,nl-NL,pl-PL,de-DE,id-ID,zh-TW,ko-KR",FALSE,,,
